,Review Title,Review Content,Stars,Combined Review,Sentiment Combined
0,What a pleasant surprising little table.,"It's really great and I wasn't sure I'd think that. It's adjustable to perfect heights for me to use my laptop without having to balance it on my knees or a tray. It was a skoosh to assemble. It's neat and is easily folded down or just the legs pushed under the couch. You look at these things in magazines and say ""that's for old folks"" well it's not. They are actually a simple but very effective design. My laptop doesn't move around  it's quite secure. There's a decent amount of space on it. So surprisingly pleased with my purchase. It'll be interesting how long I get to keep it before the household think it's also a good idea.Read full review...",5 stars,"What a pleasant surprising little table. It's really great and I wasn't sure I'd think that. It's adjustable to perfect heights for me to use my laptop without having to balance it on my knees or a tray. It was a skoosh to assemble. It's neat and is easily folded down or just the legs pushed under the couch. You look at these things in magazines and say ""that's for old folks"" well it's not. They are actually a simple but very effective design. My laptop doesn't move around  it's quite secure. There's a decent amount of space on it. So surprisingly pleased with my purchase. It'll be interesting how long I get to keep it before the household think it's also a good idea.Read full review...",0.9867
1,Useful Item,"It is quite good but not as easy to use as the adverts make out. The table support bar is fiddly to use, again okay once you are settled in your chair. Overall the quality of the product is pretty good. I'm fairly well satisfied with the product.Read full review...",3 stars,"Useful Item It is quite good but not as easy to use as the adverts make out. The table support bar is fiddly to use, again okay once you are settled in your chair. Overall the quality of the product is pretty good. I'm fairly well satisfied with the product.Read full review...",0.9673
2,Unstable table..,"Delivery time as stated,the package badly damaged,otherwise i would have returned items,,as they are very unstable,,i have had to use cable ties to secure,,so now unable to fold the tables down,ok for a child  but not for the use intended as a table to eat off,,Read full review...",3 stars,"Unstable table.. Delivery time as stated,the package badly damaged,otherwise i would have returned items,,as they are very unstable,,i have had to use cable ties to secure,,so now unable to fold the tables down,ok for a child  but not for the use intended as a table to eat off,,Read full review...",-0.4215
3,"Without the name Table Mate II  on the very front of the table, he may not be the original which is stronger and has a denser top.","It is advertised as Table Mate II and comes in the same box as Table Mate II but does not have the name Table Mate II at the very front of the table as my first Table Mate II has and is not as strong and also has a slight tilt, so I think this is not an original TMII This is the 2nd one I have obtained that  does not match the quality to my original Table Mate II. The table top is not as dense either, appears to be a thinner topRead full review...",3 stars,"Without the name Table Mate II  on the very front of the table, he may not be the original which is stronger and has a denser top. It is advertised as Table Mate II and comes in the same box as Table Mate II but does not have the name Table Mate II at the very front of the table as my first Table Mate II has and is not as strong and also has a slight tilt, so I think this is not an original TMII This is the 2nd one I have obtained that  does not match the quality to my original Table Mate II. The table top is not as dense either, appears to be a thinner topRead full review...",-0.6726
4,You get what you pay for!,"I’m suprised at how many bad reviews there are for this table. It’s £10 including delivery to your door, what do people expect?Received my table, no instruction on hoW to put it together but it’s very simple to figure it out.It’s very lightweight and not the most sturdy but it will hold a plate of dinner. How long it lasts is yet to be seen but ours will only be used on rare occasions so it will suit us fine I’m sure.If you are looking for something that is going to take heavier, prolonged use then I suggest spending a bit ore and get something more sturdy.Read full review...",3 stars,"You get what you pay for! I’m suprised at how many bad reviews there are for this table. It’s £10 including delivery to your door, what do people expect?Received my table, no instruction on hoW to put it together but it’s very simple to figure it out.It’s very lightweight and not the most sturdy but it will hold a plate of dinner. How long it lasts is yet to be seen but ours will only be used on rare occasions so it will suit us fine I’m sure.If you are looking for something that is going to take heavier, prolonged use then I suggest spending a bit ore and get something more sturdy.Read full review...",-0.2828
5,great but needs stronger hooks underneath,"Very easy to use,but 2 of the hooks underneath,that control the slope broke off,on the first day,metal would be better than plastic on these,but still find it very useful for my crafts and computer",3 stars,"great but needs stronger hooks underneath Very easy to use,but 2 of the hooks underneath,that control the slope broke off,on the first day,metal would be better than plastic on these,but still find it very useful for my crafts and computer",0.9401
6,Not a good purchase. ,"This table is extremely poor quality, even for the money I paid for it!I purchased it for my 95year old Mum, who is staying with us due to our necessary self isolation. I needed something that she could push away easily from her chair when she needs gets up. Yes the table does do that! But, it is so flimsy I had to add wooden struts to it to stop it collapsing. When set to flat table top setting the table top actually tipped slightly backwards. So a bit more do-it-yourself to correct that. I now have a reasonably stable table she can safely use for her cups of tea etc. But had this been normal ‘times’ & the table hadn’t been desperately needed, there is no way I would have kept this item. I would not recommend this item. Read full review...",1 stars,"Not a good purchase.  This table is extremely poor quality, even for the money I paid for it!I purchased it for my 95year old Mum, who is staying with us due to our necessary self isolation. I needed something that she could push away easily from her chair when she needs gets up. Yes the table does do that! But, it is so flimsy I had to add wooden struts to it to stop it collapsing. When set to flat table top setting the table top actually tipped slightly backwards. So a bit more do-it-yourself to correct that. I now have a reasonably stable table she can safely use for her cups of tea etc. But had this been normal ‘times’ & the table hadn’t been desperately needed, there is no way I would have kept this item. I would not recommend this item. Read full review...",-0.6955
7,My View of the Folding Table.,"I was not that impressed with these but for the price they do the job, The fault that I found was that the inner leg tube was too loose and when you went to store the table away the legs slid down and a couple of times they fell out of the outer tube but, as I said, they do the job. They are good value for the money and the quality is OK, except for my criticism.Read full review...",3 stars,"My View of the Folding Table. I was not that impressed with these but for the price they do the job, The fault that I found was that the inner leg tube was too loose and when you went to store the table away the legs slid down and a couple of times they fell out of the outer tube but, as I said, they do the job. They are good value for the money and the quality is OK, except for my criticism.Read full review...",0.5533
8,Could of been a lot better!,"The item is flimsy, the top doesn’t lock into place so if you go to reposition it it WILL collapse! No good for people with disabilities. The top is light plastic which is easy to wipe clean, but overall a bad purchase.do not recommend.Read full review...",2 stars,"Could of been a lot better! The item is flimsy, the top doesn’t lock into place so if you go to reposition it it WILL collapse! No good for people with disabilities. The top is light plastic which is easy to wipe clean, but overall a bad purchase.do not recommend.Read full review...",-0.3682
9,Poor quality,"The idea behind the design is good but the makers have not done the designer justice, the table is a soft plastic that bends, the legs fit together at a different angle to the table top and its easy to tip over backwards.Read full review...",3 stars,"Poor quality The idea behind the design is good but the makers have not done the designer justice, the table is a soft plastic that bends, the legs fit together at a different angle to the table top and its easy to tip over backwards.Read full review...",0.93
10,Rubbish. Save your money.,"Can't be moved without the top falling down, not safe for elderly with hot drinks or food, I'm having to find a way to glue it together, don't bother, many reviews saying they are not as good as the originals, thin plastic. good idea poorly executed, could have built a better one from scrap timber, I'm amazed they get away with selling this rubbish. Where's trading standards when you need them?Read full review...",1 stars,"Rubbish. Save your money. Can't be moved without the top falling down, not safe for elderly with hot drinks or food, I'm having to find a way to glue it together, don't bother, many reviews saying they are not as good as the originals, thin plastic. good idea poorly executed, could have built a better one from scrap timber, I'm amazed they get away with selling this rubbish. Where's trading standards when you need them?Read full review...",0.6085
11,Not safe ,I had bought one of these for my Mum for Christmas. But decided against that idea as the table isn’t very safe. It can quite easily collapse on you. And if my Mum was to have her tea in it. There could be a nasty accident waiting to happenRead full review...,3 stars,Not safe  I had bought one of these for my Mum for Christmas. But decided against that idea as the table isn’t very safe. It can quite easily collapse on you. And if my Mum was to have her tea in it. There could be a nasty accident waiting to happenRead full review...,-0.9436
12,TABLE MATE,The Table mate is practical but not suitable for rise & recline chairs as the legs are not adjustable in width due to chair mechanism which restricts use.  However I will make an amendment which overcomes this problem.Read full review...,4 stars,TABLE MATE The Table mate is practical but not suitable for rise & recline chairs as the legs are not adjustable in width due to chair mechanism which restricts use.  However I will make an amendment which overcomes this problem.Read full review...,-0.4497
13,Ok for price ,Not great quality but for 9.99 it’s ok as I may not use as much as I thought It’s a bit light and unstable so you’d need to be careful about resting on writing etc and not use for hot drink etc ,3 stars,Ok for price  Not great quality but for 9.99 it’s ok as I may not use as much as I thought It’s a bit light and unstable so you’d need to be careful about resting on writing etc and not use for hot drink etc ,-0.025
14,Disenchanted,"Tray got bend in it within a day of use (only light items left on it overnight), and unstable when used for eating dinner on. Also, the balance arm doesn't fully lock in, so tray has dropped down when pulling towards user.Whilst the advert made it look invaluable to have, actually having it, I consider it false advertising.If it wasn't likely to cost as much as purchase to send back, than that's exactly what I'd be doingRead full review...",2 stars,"Disenchanted Tray got bend in it within a day of use (only light items left on it overnight), and unstable when used for eating dinner on. Also, the balance arm doesn't fully lock in, so tray has dropped down when pulling towards user.Whilst the advert made it look invaluable to have, actually having it, I consider it false advertising.If it wasn't likely to cost as much as purchase to send back, than that's exactly what I'd be doingRead full review...",-0.3612
15,Portable table ,"Not a bad item, little bit flimsy. Cannot put too pressure on it. Have to be careful how you manoeuvre it about as likely to collapse. Otherwise quite useful. ",4 stars,"Portable table  Not a bad item, little bit flimsy. Cannot put too pressure on it. Have to be careful how you manoeuvre it about as likely to collapse. Otherwise quite useful. ",0.6521
16,T.V.table,I like the idea of the table but it’s a bit flimsy I think if the rod underneath where you adjust for height was a little longer it would be better mine is slipping all the time I like the idea and wish it would fold flat but the only way it folds flat is to take the legs offRead full review...,3 stars,T.V.table I like the idea of the table but it’s a bit flimsy I think if the rod underneath where you adjust for height was a little longer it would be better mine is slipping all the time I like the idea and wish it would fold flat but the only way it folds flat is to take the legs offRead full review...,0.9081
17,Unstable table,"Table didn't slot together properly and could be moved sideways. Very unstable. Would be ok for general use  but this was for my Mum to use for hot meals and drinks. Too dangerous to use. Also, this product is marketed as Table mate but doesn't have logo on.Read full review...",2 stars,"Unstable table Table didn't slot together properly and could be moved sideways. Very unstable. Would be ok for general use  but this was for my Mum to use for hot meals and drinks. Too dangerous to use. Also, this product is marketed as Table mate but doesn't have logo on.Read full review...",-0.7349
18,Disappointed,So pleased with this product when it arrived. Within a short period of time the plastic hooks began breaking off beneath the tray. So far 6 have broken off. I can no longer use the tray in a horizontal position. If the hooks had been of a metal construction it would have lasted much much longer. I am throwing the product out shortly. It lasted about 4 weeks.Read full review...,1 stars,Disappointed So pleased with this product when it arrived. Within a short period of time the plastic hooks began breaking off beneath the tray. So far 6 have broken off. I can no longer use the tray in a horizontal position. If the hooks had been of a metal construction it would have lasted much much longer. I am throwing the product out shortly. It lasted about 4 weeks.Read full review...,-0.6674
19,Top table,"The table mate foldable table is ideal for writing on, eating a meal. It is good value for money, but could be a bit more sturdy. The adjustable feature for the top is an additional benefit. ",4 stars,"Top table The table mate foldable table is ideal for writing on, eating a meal. It is good value for money, but could be a bit more sturdy. The adjustable feature for the top is an additional benefit. ",0.8873
20,Cut use it can't adjust it level as shown on all the pictures on box,You can't adjust it to go level I have sent photo but no one has bothered to get back I needed for my wife to eat her dinner of but can't use it she is 75 and has a broken vertebrae and can't move about Mitch I am very disappointed Read full review...,1 stars,Cut use it can't adjust it level as shown on all the pictures on box You can't adjust it to go level I have sent photo but no one has bothered to get back I needed for my wife to eat her dinner of but can't use it she is 75 and has a broken vertebrae and can't move about Mitch I am very disappointed Read full review...,-0.9436
21,Flimsy ,Not really what I expected. Very flimsy. Just a small knock against it would knock the support rail out and table would fall. Ended up re packing it and storing it as could not be bothered to return it. Ended up getting a much stronger one for just a few pounds more. Read full review...,2 stars,Flimsy  Not really what I expected. Very flimsy. Just a small knock against it would knock the support rail out and table would fall. Ended up re packing it and storing it as could not be bothered to return it. Ended up getting a much stronger one for just a few pounds more. Read full review...,0.7401
22,this has made such a difference so an elderly lady who kept dropping her dinner from a normal tray.  This has given her so much more confidence,"this replaced a beanbag tray that an elderly friend was using.  The beanbag tray kept sliding and she had tipped her dinner on the floor a few times.  We tried this tray and what a difference it has made to her life.  No more lost dinners, easy to slide away once she has finished eating and sturdy enough to keep food and drinks on without sliding.  An absolute bargain and has helped her gain confidence again and given her independence.Read full review...",5 stars,"this has made such a difference so an elderly lady who kept dropping her dinner from a normal tray.  This has given her so much more confidence this replaced a beanbag tray that an elderly friend was using.  The beanbag tray kept sliding and she had tipped her dinner on the floor a few times.  We tried this tray and what a difference it has made to her life.  No more lost dinners, easy to slide away once she has finished eating and sturdy enough to keep food and drinks on without sliding.  An absolute bargain and has helped her gain confidence again and given her independence.Read full review...",0.938
23,Cant complain!,Bought this table even though some reviews were quite bad. I really think some people here might have unrealistic views when it comes to getting some amazing quality for a tenner...it is what it it does its job and i think if youre on a budget and want something you dont mind throwing away in a year or so...this is just fine. Ita not the best nor the worst...it has the quality you paid for.Read full review...,4 stars,Cant complain! Bought this table even though some reviews were quite bad. I really think some people here might have unrealistic views when it comes to getting some amazing quality for a tenner...it is what it it does its job and i think if youre on a budget and want something you dont mind throwing away in a year or so...this is just fine. Ita not the best nor the worst...it has the quality you paid for.Read full review...,-0.1136
24,Versatile portable table,"I bought the table for a day of Painting in the Park, and it was ideal for holding my materials. It was also easy to transport and not heavy to carry. It also has many uses indoors!",4 stars,"Versatile portable table I bought the table for a day of Painting in the Park, and it was ideal for holding my materials. It was also easy to transport and not heavy to carry. It also has many uses indoors!",0.7644
25,Unstable and easy to knock over,"The pictures and description of the table read well, but it’s very flimsy, not a good quality and unstable, ie it was very easy to knock over, so it’s not a good table if you want something that is sturdy to use.Read full review...",1 stars,"Unstable and easy to knock over The pictures and description of the table read well, but it’s very flimsy, not a good quality and unstable, ie it was very easy to knock over, so it’s not a good table if you want something that is sturdy to use.Read full review...",-0.638
26,Good quality tray,When using make sure tray secure as will fall down if not also make sure legs fit under wherever your going to use it as my settee hasA dip in middle and won’t fit under it,4 stars,Good quality tray When using make sure tray secure as will fall down if not also make sure legs fit under wherever your going to use it as my settee hasA dip in middle and won’t fit under it,0.9169
27,Small lap table,"Does what is says on the box! Cheap value for money lap table for dinner whilst still sitting in your favourite chair. Yes could be better, which I can explain by saying that I also brought a ""Days"" table ! Great but this one is too high and does not fit around/ under my chair. So I always use this one. So the moral of this is?Read full review...",5 stars,"Small lap table Does what is says on the box! Cheap value for money lap table for dinner whilst still sitting in your favourite chair. Yes could be better, which I can explain by saying that I also brought a ""Days"" table ! Great but this one is too high and does not fit around/ under my chair. So I always use this one. So the moral of this is?Read full review...",0.6084
28,Flimsy,"It's flimsy, but at the price what exactly did I expect. It isn't flat, maybe it's not meant to be, but don't fill your cup to the top or it'll spill over (maybe 3% rise but enough to be annoying). Will be looking at better ones and hand this on to someone.Read full review...",2 stars,"Flimsy It's flimsy, but at the price what exactly did I expect. It isn't flat, maybe it's not meant to be, but don't fill your cup to the top or it'll spill over (maybe 3% rise but enough to be annoying). Will be looking at better ones and hand this on to someone.Read full review...",0.8847
29,JUNK,THIS TABLE /TRAY IS A PIECE OF JUNK. ONCE ASSEMBLYED IT IS ALMOST IMPOSSIBLE TO ADJUST THE HEIGHT AGAIN.   IT ALSO WOBBLES AND IS CAPABLE OF FALLING FORWARD TO THE FLOOR.  IT IS A CHEAP IMMITATION OF THE MORE EXPENSIVE ONE ON HIGH STREET TV.  DONT WASTE YOUR MONEY.   I GAVE POSITIVE FEEDBACK FAR TOO EARLY. NEVER AGAIN.AS I WRITE IT IS IN THE RECYCLE BIN.Read full review...,1 stars,JUNK THIS TABLE /TRAY IS A PIECE OF JUNK. ONCE ASSEMBLYED IT IS ALMOST IMPOSSIBLE TO ADJUST THE HEIGHT AGAIN.   IT ALSO WOBBLES AND IS CAPABLE OF FALLING FORWARD TO THE FLOOR.  IT IS A CHEAP IMMITATION OF THE MORE EXPENSIVE ONE ON HIGH STREET TV.  DONT WASTE YOUR MONEY.   I GAVE POSITIVE FEEDBACK FAR TOO EARLY. NEVER AGAIN.AS I WRITE IT IS IN THE RECYCLE BIN.Read full review...,0.8484
